ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
Pla-749-1,,Pla,749,bjy¹,bjy¹,b j y ¹,,Yang2011Lalo,0,
CW-QY-749-1,,CW-QY,749,by⁵⁵,by⁵⁵,b y ⁵⁵,,Yang2011Lalo,0,
W-SZP-749-1,,W-SZP,749,by²⁴,by²⁴,b y ²⁴,,Yang2011Lalo,0,
E-DC-749-1,,E-DC,749,biɔ²⁴,biɔ²⁴,b i ɔ ²⁴,,Yang2011Lalo,0,
XZ-749-1,,XZ,749,by²⁴,by²⁴,b y ²⁴,,Yang2011Lalo,0,
MD-749-1,,MD,749,bə⁵⁵,bə⁵⁵,b ə ⁵⁵,,Yang2011Lalo,0,
Eka-749-1,,Eka,749,bə²⁴,bə²⁴,b ə ²⁴,,Yang2011Lalo,0,
YL-749-1,,YL,749,bɨ³³,bɨ³³,b ɨ ³³,,Yang2011Lalo,0,
Pla-813-1,,Pla,813,dʒaŋ²,dʒaŋ²,dʒ a ŋ ²,,Yang2011Lalo,1,
CW-QY-813-1,,CW-QY,813,tʂʅ¹³,tʂʅ¹³,tʂ ʐ̩ ¹³,,Yang2011Lalo,1,
W-SZP-813-1,,W-SZP,813,dʑy³³,dʑy³³,dʑ y ³³,,Yang2011Lalo,1,
E-DC-813-1,,E-DC,813,dza²¹,dza²¹,dz a ²¹,,Yang2011Lalo,1,
XZ-813-1,,XZ,813,dʐa²¹,dʐa²¹,dʐ a ²¹,,Yang2011Lalo,1,
MD-813-1,,MD,813,dʐa²¹,dʐa²¹,dʐ a ²¹,,Yang2011Lalo,1,
Eka-813-1,,Eka,813,dza²¹,dza²¹,dz a ²¹,,Yang2011Lalo,1,
YL-813-1,,YL,813,tsɿ²⁴,tsɿ²⁴,ts z̩ ²⁴,,Yang2011Lalo,1,
Pla-403-1,,Pla,403,le̠ᶫgoŋ¹,le̠ᶫgoŋ¹,l e̠ ᶫ/³ + g o ŋ ¹,,Yang2011Lalo,2,
CW-QY-403-1,,CW-QY,403,lɛ̠²¹a²¹wo⁵⁵,lɛ̠²¹a²¹wo⁵⁵,l ɛ̠ ²¹ + a ²¹ + w o ⁵⁵,,Yang2011Lalo,2,
W-SZP-403-1,,W-SZP,403,le⁵⁵wo³³,le⁵⁵wo³³,l e ⁵⁵ + w o ³³,,Yang2011Lalo,2,
E-DC-403-1,,E-DC,403,lei⁴²gɤ̪²⁴,lei⁴²gɤ̪²⁴,l ei ⁴² + g ɤ̪/ɤ ²⁴,,Yang2011Lalo,2,
XZ-403-1,,XZ,403,lɛi³³gv̩˞²⁴,lɛi³³gv̩˞²⁴,l ɛ i ³³ + g v̩˞/v̩ ²⁴,,Yang2011Lalo,2,
MD-403-1,,MD,403,lu²¹gu⁵⁵,lu²¹gu⁵⁵,l u ²¹ + g u ⁵⁵,,Yang2011Lalo,2,
Eka-403-1,,Eka,403,lu²¹gu²⁴,lu²¹gu²⁴,l u ²¹ + g u ²⁴,,Yang2011Lalo,2,
YL-403-1,,YL,403,lei⁵⁵go³³,lei⁵⁵go³³,l ei ⁵⁵ + g o ³³,,Yang2011Lalo,2,
Pla-67-1,,Pla,67,a¹mo²kʰɨ̠ᶫ,a¹mo²kʰɨ̠ᶫ,a ¹ + m o ² + kʰ ɨ̠ ᶫ/³,,Yang2011Lalo,3,
CW-QY-67-1,,CW-QY,67,a⁵⁵ŋ̩̩²¹kʰɨ̠²¹ji⁵⁵,a⁵⁵ŋ̩̩²¹kʰɨ̠²¹ji⁵⁵,a ⁵⁵ + ŋ̩ ²¹ + kʰ ɨ̠ ²¹ + j i ⁵⁵,,Yang2011Lalo,3,
W-SZP-67-1,,W-SZP,67,a⁵⁵mu²¹kʰəʔ⁵⁵,a⁵⁵mu²¹kʰəʔ⁵⁵,a ⁵⁵ + m u ²¹ + kʰ ə ʔ ⁵⁵,,Yang2011Lalo,3,
E-DC-67-1,,E-DC,67,dzɔ²⁴ji³³dzɔ²¹ji²¹,dzɔ²⁴ji³³dzɔ²¹ji²¹,dz ɔ ²⁴ + j i ³³ + dz ɔ ²¹ + j i ²¹,,Yang2011Lalo,3,
XZ-67-1,,XZ,67,a³⁵mv̩⁴¹kʰɨ³³li³³,a³⁵mv̩⁴¹kʰɨ³³li³³,a ³⁵ + m v̩ ⁴¹ + kʰ ɨ ³³ + l i ³³,,Yang2011Lalo,3,
MD-67-1,,MD,67,la²¹vã⁵⁵,la²¹vã⁵⁵,l a ²¹ + v ã/a ∼ ⁵⁵,,Yang2011Lalo,3,
Eka-67-1,,Eka,67,la²¹vaŋ⁵³,la²¹vaŋ⁵³,l a ²¹ + v a ŋ ⁵³,,Yang2011Lalo,3,
YL-67-1,,YL,67,n̩²¹kʰɨ⁵³,n̩²¹kʰɨ⁵³,n̩ ²¹ + kʰ ɨ ⁵³,,Yang2011Lalo,3,
Pla-68-1,,Pla,68,a¹mo²ɣɨ¹,a¹mo²ɣɨ¹,a ¹ + m o ² + ɣ ɨ ¹,,Yang2011Lalo,4,
CW-QY-68-1,,CW-QY,68,a⁵⁵ŋ̩̩²¹ɣɨ⁵⁵ø⁵⁵ji⁵⁵,a⁵⁵ŋ̩̩²¹ɣɨ⁵⁵ø⁵⁵ji⁵⁵,a ⁵⁵ + ŋ̩ ²¹ + ɣ ɨ ⁵⁵ + ø ⁵⁵ + j i ⁵⁵,,Yang2011Lalo,4,
W-SZP-68-1,,W-SZP,68,a⁵⁵mu²¹ɣɨ²⁴ɕi³³ɕi³³,a⁵⁵mu²¹ɣɨ²⁴ɕi³³ɕi³³,a ⁵⁵ + m u ²¹ + ɣ ɨ ²⁴ + ɕ i ³³ + ɕ i ³³,,Yang2011Lalo,4,
E-DC-68-1,,E-DC,68,a⁵⁵mə²¹ɣə²⁴tɕia³³,a⁵⁵mə²¹ɣə²⁴tɕia³³,a ⁵⁵ + m ə ²¹ + ɣ ə ²⁴ + tɕ i a ³³,,Yang2011Lalo,4,
XZ-68-1,,XZ,68,a³⁵mv̩⁴¹ɣɨ²⁴,a³⁵mv̩⁴¹ɣɨ²⁴,a ³⁵ + m v̩ ⁴¹ + ɣ ɨ ²⁴,,Yang2011Lalo,4,
MD-68-1,,MD,68,la²¹vã⁵⁵wo²¹vɛ³³,la²¹vã⁵⁵wo²¹vɛ³³,l a ²¹ + v ã/a ∼ ⁵⁵ + w o ²¹ + v ɛ ³³,,Yang2011Lalo,4,
Eka-68-1,,Eka,68,aŋ²⁴kʰɨ̠²¹,aŋ²⁴kʰɨ̠²¹,a ŋ ²⁴ + kʰ ɨ̠ ²¹,,Yang2011Lalo,4,
YL-68-1,,YL,68,miɛ˞⁴⁵tə⁴²ɲa³³,miɛ˞⁴⁵tə⁴²ɲa³³,m i ɛ˞ ⁴⁵ + t ə ⁴² + ɲ a ³³,,Yang2011Lalo,4,
Pla-68-2,,Pla,68,a¹mo²kʰɨ̠ᶫ,a¹mo²kʰɨ̠ᶫ,a ¹ + m o ² + kʰ ɨ̠ ᶫ/³,,Yang2011Lalo,5,
CW-QY-68-2,,CW-QY,68,a¹mo²kʰɨ̠ᶫ,a¹mo²kʰɨ̠ᶫ,a ¹ + m o ² + kʰ ɨ̠ ᶫ/³,,Yang2011Lalo,5,
W-SZP-68-2,,W-SZP,68,a⁵⁵mu²¹ɣɨ²⁴ɕi³³ɕi³³,a⁵⁵mu²¹ɣɨ²⁴ɕi³³ɕi³³,a ⁵⁵ + m u ²¹ + ɣ ɨ ²⁴ + ɕ i ³³ + ɕ i ³³,,Yang2011Lalo,5,
E-DC-68-2,,E-DC,68,a⁵⁵mə²¹ɣə²⁴tɕia³³,a⁵⁵mə²¹ɣə²⁴tɕia³³,a ⁵⁵ + m ə ²¹ + ɣ ə ²⁴ + tɕ i a ³³,,Yang2011Lalo,5,
XZ-68-2,,XZ,68,a⁵⁵mə²¹ɣə²⁴tɕia³³,a⁵⁵mə²¹ɣə²⁴tɕia³³,a ⁵⁵ + m ə ²¹ + ɣ ə ²⁴ + tɕ i a ³³,,Yang2011Lalo,5,
MD-68-2,,MD,68,a⁵⁵mə²¹ɣə²⁴tɕia³³,a⁵⁵mə²¹ɣə²⁴tɕia³³,a ⁵⁵ + m ə ²¹ + ɣ ə ²⁴ + tɕ i a ³³,,Yang2011Lalo,5,
Eka-68-2,,Eka,68,aŋ²⁴kʰɨ̠²¹,aŋ²⁴kʰɨ̠²¹,a ŋ ²⁴ + kʰ ɨ̠ ²¹,,Yang2011Lalo,5,
YL-68-2,,YL,68,miɛ˞⁴⁵tə⁴²ɲa³³,miɛ˞⁴⁵tə⁴²ɲa³³,m i ɛ˞ ⁴⁵ + t ə ⁴² + ɲ a ³³,,Yang2011Lalo,5,
Pla-737-1,,Pla,737,ʔly³/²,ʔly³/²,ʔ l y ³/²,,Yang2011Lalo,6,
CW-QY-737-1,,CW-QY,737,koŋ²¹,koŋ²¹,k o ŋ ²¹,,Yang2011Lalo,6,
W-SZP-737-1,,W-SZP,737,ly³³,ly³³,l y ³³,,Yang2011Lalo,6,
E-DC-737-1,,E-DC,737,va³³,va³³,v a ³³,,Yang2011Lalo,6,
XZ-737-1,,XZ,737,va³³,va³³,v a ³³,,Yang2011Lalo,6,
MD-737-1,,MD,737,lə³³kɛ⁵⁵,lə³³kɛ⁵⁵,l ə ³³ + k ɛ ⁵⁵,,Yang2011Lalo,6,
Eka-737-1,,Eka,737,lə³³,lə³³,l ə ³³,,Yang2011Lalo,6,
YL-737-1,,YL,737,kuən²¹,kuən²¹,k u ə n ²¹,,Yang2011Lalo,6,
Pla-234-1,,Pla,234,kʰa²pe̠ᶫ,kʰa²pe̠ᶫ,kʰ a ² + p e̠ ᶫ/³,,Yang2011Lalo,7,
CW-QY-234-1,,CW-QY,234,kʰa²¹pʰɛ³³,kʰa²¹pʰɛ³³,kʰ a ²¹ + pʰ ɛ ³³,,Yang2011Lalo,7,
W-SZP-234-1,,W-SZP,234,kʰə/a²¹pʰɛʔ⁵³,kʰə/a²¹pʰɛʔ⁵³,kʰ ə/a ²¹ + pʰ ɛ ʔ ⁵³,,Yang2011Lalo,7,
E-DC-234-1,,E-DC,234,kʰa²¹pei⁴²,kʰa²¹pei⁴²,kʰ a ²¹ + p ei ⁴²,,Yang2011Lalo,7,
XZ-234-1,,XZ,234,kʰa³³pɛi³³,kʰa³³pɛi³³,kʰ a ³³ + p ɛ i ³³,,Yang2011Lalo,7,
MD-234-1,,MD,234,mə³³tʃu⁵⁵,mə³³tʃu⁵⁵,m ə ³³ + tʃ u ⁵⁵,,Yang2011Lalo,7,
Eka-234-1,,Eka,234,ɛ²¹mə³³,ɛ²¹mə³³,ɛ ²¹ + m ə ³³,,Yang2011Lalo,7,
YL-234-1,,YL,234,ma²¹nɛ˞⁵³,ma²¹nɛ˞⁵³,m a ²¹ + n ɛ˞ ⁵³,,Yang2011Lalo,7,
Pla-234-2,,Pla,234,kʰa²pe̠ᶫ,kʰa²pe̠ᶫ,kʰ a ² + p e̠ ᶫ/³,,Yang2011Lalo,8,
CW-QY-234-2,,CW-QY,234,kʰa²¹pʰɛ³³,kʰa²¹pʰɛ³³,kʰ a ²¹ + pʰ ɛ ³³,,Yang2011Lalo,8,
W-SZP-234-2,,W-SZP,234,kʰə/a²¹pʰɛʔ⁵³,kʰə/a²¹pʰɛʔ⁵³,kʰ ə/a ²¹ + pʰ ɛ ʔ ⁵³,,Yang2011Lalo,8,
E-DC-234-2,,E-DC,234,kʰa²¹pei⁴²,kʰa²¹pei⁴²,kʰ a ²¹ + p ei ⁴²,,Yang2011Lalo,8,
XZ-234-2,,XZ,234,kʰa³³pɛi³³,kʰa³³pɛi³³,kʰ a ³³ + p ɛ i ³³,,Yang2011Lalo,8,
MD-234-2,,MD,234,kʰa³³pɛi³³,kʰa³³pɛi³³,kʰ a ³³ + p ɛ i ³³,,Yang2011Lalo,8,
Eka-234-2,,Eka,234,ɛ²¹mə³³,ɛ²¹mə³³,ɛ ²¹ + m ə ³³,,Yang2011Lalo,8,
YL-234-2,,YL,234,ma²¹nɛ˞⁵³,ma²¹nɛ˞⁵³,m a ²¹ + n ɛ˞ ⁵³,,Yang2011Lalo,8,
Pla-235-1,,Pla,235,mɨ²la³,mɨ²la³,m ɨ ² + l a ³,,Yang2011Lalo,9,
CW-QY-235-1,,CW-QY,235,mɨ²la³,mɨ²la³,m ɨ ² + l a ³,,Yang2011Lalo,9,
W-SZP-235-1,,W-SZP,235,mɨ²la³,mɨ²la³,m ɨ ² + l a ³,,Yang2011Lalo,9,
E-DC-235-1,,E-DC,235,mɨ²la³,mɨ²la³,m ɨ ² + l a ³,,Yang2011Lalo,9,
XZ-235-1,,XZ,235,mɛ˞³³lɛ˞³³gɨ²⁴,mɛ˞³³lɛ˞³³gɨ²⁴,m ɛ˞ ³³ + l ɛ˞ ³³ + g ɨ ²⁴,,Yang2011Lalo,9,
